group1,group2,meandiff,p-adj,lower,upper,reject
Acetamidinium_Lead,Trimethylammonium_Tin,0.2318,1.0,-0.383,0.8466,False
Acetamidinium_Tin,Ammonium_Germanium,0.031,1.0,-0.8135,0.8754,False
Acetamidinium_Tin,Ammonium_Lead,-0.1612,1.0,-1.0407,0.7183,False
Acetamidinium_Tin,Ammonium_Tin,0.0522,1.0,-0.7384,0.8429,False
Acetamidinium_Tin,Azetidinium_Germanium,0.1635,1.0,-0.4074,0.7345,False
Acetamidinium_Tin,Azetidinium_Lead,0.008,1.0,-0.5712,0.5872,False
Acetamidinium_Tin,Azetidinium_Tin,0.0707,1.0,-0.4933,0.6347,False
Acetamidinium_Tin,Butylammonium_Germanium,0.3046,1.0,-0.5107,1.1199,False
Acetamidinium_Tin,Butylammonium_Lead,0.202,1.0,-0.5675,0.9715,False
Acetamidinium_Tin,Butylammonium_Tin,0.24,1.0,-0.6045,1.0844,False
Acetamidinium_Tin,Dimethylammonium_Germanium,0.1445,1.0,-0.4963,0.7854,False
Acetamidinium_Tin,Dimethylammonium_Lead,-0.022,1.0,-0.6828,0.6387,False
Acetamidinium_Tin,Dimethylammonium_Tin,0.0768,1.0,-0.5701,0.7238,False
Acetamidinium_Tin,Ethylammonium_Germanium,0.1688,1.0,-0.4321,0.7698,False
Acetamidinium_Tin,Ethylammonium_Lead,0.1251,1.0,-0.4829,0.7331,False
Acetamidinium_Tin,Ethylammonium_Tin,0.1506,1.0,-0.4441,0.7453,False
Acetamidinium_Tin,Formamidinium_Germanium,0.0431,1.0,-0.8014,0.8875,False
Acetamidinium_Tin,Formamidinium_Lead,-0.2662,1.0,-1.1106,0.5783,False
Acetamidinium_Tin,Formamidinium_Tin,-0.0132,1.0,-0.8577,0.8312,False
Acetamidinium_Tin,Guanidinium_Germanium,0.0864,1.0,-0.7581,0.9308,False
Acetamidinium_Tin,Guanidinium_Lead,-0.1058,1.0,-0.9502,0.7387,False
Acetamidinium_Tin,Guanidinium_Tin,-0.0622,1.0,-0.9418,0.8173,False
Acetamidinium_Tin,Hydrazinium_Germanium,0.0563,1.0,-0.5481,0.6607,False
Acetamidinium_Tin,Hydrazinium_Lead,-0.0873,1.0,-0.7171,0.5426,False
Acetamidinium_Tin,Hydrazinium_Tin,0.06,1.0,-0.5377,0.6577,False
Acetamidinium_Tin,Hydroxylammonium_Germanium,-0.0753,1.0,-0.736,0.5855,False
Acetamidinium_Tin,Hydroxylammonium_Lead,-0.456,0.8277,-1.1246,0.2125,False
